combo,seed,bb100_0,winrate_0,ruin_hand_0,bb100_1,winrate_1,ruin_hand_1,bb100_2,winrate_2,ruin_hand_2,bb100_3,winrate_3,ruin_hand_3,bb100_4,winrate_4,ruin_hand_4,bb100_5,winrate_5,ruin_hand_5
six_aggressive,101,5.314625850340136,0.4916028911564626,,-46.2962962962963,0.23148148148148148,215.0,-147.05882352941177,0.11764705882352941,67.0,-93.45794392523365,0.1308411214953271,106.0,-1.0629251700680271,0.4958545918367347,9407.0,-169.4915254237288,0.1864406779661017,58.0
six_aggressive,202,-172.41379310344826,0.08620689655172414,57.0,3.229556904792662,0.49412220643327737,,-15.479876160990713,0.2894736842105263,645.0,-0.6459113809585325,0.4870171812427335,15481.0,-344.8275862068965,0.06896551724137931,28.0,-64.51612903225806,0.21935483870967742,154.0
six_aggressive,303,-23.094688221709006,0.2471131639722864,432.0,-187.73584905660377,0.11320754716981132,52.0,48.7548828125,0.4150390625,,-112.35955056179776,0.1797752808988764,88.0,-9.7412109375,0.416015625,1023.0,-48.54368932038835,0.22815533980582525,205.0
six_aggressive,404,-30.76923076923077,0.24615384615384617,324.0,-382.69230769230774,0.07692307692307693,25.0,-2.977076510866329,0.4739505805299196,3358.0,-49.01960784313725,0.2549019607843137,203.0,-125.0,0.2125,79.0,14.870497171777314,0.47871390294730576,
six_aggressive,505,-523.6842105263157,0.0,18.0,5.955223880597015,0.48668656716417913,,-121.03658536585367,0.10975609756097561,81.0,-1.1940298507462688,0.49683582089552236,8374.0,-34.602076124567475,0.2664359861591695,288.0,-73.52941176470588,0.17647058823529413,135.0
six_passive,101,-9.319664492078285,0.21994408201304752,1072.0,2.8239954725523484,0.4406338426711941,,-54.054054054054056,0.1783783783783784,184.0,-41.49377593360996,0.15767634854771784,240.0,-0.5631013016411998,0.4409734012450481,17669.0,-1.6936170212765957,0.304,5874.0
six_passive,202,-2.0614306328592042,0.23500309214594928,4850.0,3.2183186277666858,0.40671089070651123,,-1.6095284081764045,0.2620312248511186,6212.0,-7.484394506866416,0.1752808988764045,1334.0,-0.6429660161868569,0.39608424035550976,15526.0,-13.82549562010143,0.16182572614107885,722.0
six_passive,303,-3.674564975934839,0.2028878193261755,2700.0,-27.247956403269757,0.14986376021798364,366.0,0.7494999999999999,0.47068,,-1.3009937238493725,0.2883106694560669,7647.0,-5.005005005005005,0.1946946946946947,1997.0,0.048,0.46384,
six_passive,404,0.10816666666666674,0.4121,,-8.47457627118644,0.18983050847457628,1179.0,-2.2170057381324977,0.2445785826067516,4472.0,-30.211480362537763,0.1691842900302115,330.0,0.6891666666666667,0.41048,,-0.4120936011596604,0.312238558707807,24144.0
six_passive,505,-5.271481286241434,0.16447021613073273,1896.0,-0.5971964666706545,0.2648800622121194,16716.0,0.027,0.41968,,-0.9169264624977077,0.22565560242068586,10905.0,0.7714999999999999,0.42122,,-2.14444923784872,0.17450388265746333,4635.0
six_mathematician,101,-37.3134328358209,0.26119402985074625,267.0,-62.11180124223602,0.18633540372670807,160.0,-132.66666666666666,0.12,74.0,52.63435194942044,0.4362486828240253,,-10.537407797681771,0.4088514225500527,948.0,-232.55813953488374,0.046511627906976744,42.0
six_mathematician,202,36.284470246734394,0.4056603773584906,,-37.174721189591075,0.1895910780669145,268.0,-56.49717514124294,0.15254237288135594,176.0,-16.077170418006432,0.26688102893890675,621.0,-7.256894049346879,0.3788098693759071,1377.0,-217.39130434782606,0.06521739130434782,45.0
six_mathematician,303,-39.37007874015748,0.15748031496062992,253.0,-38.16793893129771,0.16793893129770993,261.0,-86.20689655172413,0.12931034482758622,115.0,43.70629370629371,0.36276223776223776,,-12.738853503184714,0.2713375796178344,784.0,-8.741258741258742,0.333041958041958,1143.0
six_mathematician,404,-23.75296912114014,0.2517814726840855,420.0,-67.11409395973155,0.12751677852348994,148.0,-5.9171597633136095,0.4242603550295858,1689.0,-70.92198581560284,0.1347517730496454,140.0,29.585798816568047,0.4408284023668639,,-64.93506493506493,0.13636363636363635,153.0
six_mathematician,505,-227.27272727272728,0.06818181818181818,43.0,97.65625,0.392578125,,-19.53125,0.341796875,511.0,-34.602076124567475,0.22491349480968859,288.0,-131.57894736842107,0.13157894736842105,75.0,-49.01960784313725,0.19117647058823528,203.0
six_adaptive,101,-50.505050505050505,0.16666666666666666,197.0,9.974041533546325,0.4712460063897764,,-1.986821086261981,0.4736421725239617,5007.0,-90.09009009009009,0.14414414414414414,110.0,-37.878787878787875,0.19696969696969696,263.0,-16.835016835016837,0.2727272727272727,593.0
six_adaptive,202,-3.087185851690971,0.4672665218740304,3222.0,15.49798324542352,0.46075085324232085,,-28.24858757062147,0.2175141242937853,353.0,-19.047619047619047,0.24571428571428572,524.0,-158.73015873015873,0.1746031746031746,62.0,-131.57894736842107,0.13157894736842105,75.0
six_adaptive,303,-27.548209366391184,0.2369146005509642,362.0,-147.05882352941177,0.11764705882352941,67.0,-96.15384615384616,0.15384615384615385,103.0,-1.6066838046272494,0.47895244215938304,6223.0,8.033419023136247,0.4921272493573265,,-53.76344086021505,0.23655913978494625,185.0
six_adaptive,404,-30.67484662576687,0.1901840490797546,325.0,-8.210180623973727,0.2914614121510673,1217.0,-59.171597633136095,0.15384615384615385,168.0,-0.5617030837499297,0.48733359546143906,17802.0,-38.02281368821293,0.16730038022813687,262.0,2.8085154187496486,0.4818850755490648,
six_adaptive,505,-384.61538461538464,0.07692307692307693,25.0,16.03077909586406,0.48252645078550815,,-106.38297872340425,0.11702127659574468,93.0,-39.8406374501992,0.2549800796812749,250.0,-3.2061558191728117,0.46585444052580954,3118.0,-33.11258278145696,0.25165562913907286,301.0
benchmark_mix,101,-102.04081632653062,0.08163265306122448,97.0,-40.816326530612244,0.27346938775510204,244.0,12.713158564520235,0.4660218885212522,,-238.0952380952381,0.11904761904761904,41.0,-20.12072434607646,0.3822937625754527,496.0,-2.5324510053448717,0.46347671163145837,3928.0
benchmark_mix,202,-9.105504587155963,0.18623853211009175,1089.0,17.239295580110497,0.5145027624309392,,-29.850746268656714,0.29253731343283584,334.0,-3.4530386740331496,0.3774171270718232,2895.0,-126.58227848101266,0.1518987341772152,78.0,-256.4102564102564,0.05128205128205128,38.0
benchmark_mix,303,-9.652509652509652,0.16602316602316602,1035.0,-196.078431372549,0.19607843137254902,50.0,4.190412336573919,0.5108112638283607,,-0.8380824673147838,0.45918538384177005,11931.0,-25.575447570332482,0.329923273657289,390.0,-90.09009009009009,0.14414414414414414,110.0
benchmark_mix,404,-20.264765784114054,0.07331975560081466,490.0,-59.88023952095808,0.23353293413173654,166.0,77.80811232449298,0.2839313572542902,,-67.97945205479452,0.18493150684931506,145.0,-15.600624024960998,0.5085803432137286,640.0,-44.843049327354265,0.14798206278026907,222.0
benchmark_mix,505,-3.68109507954125,0.32482426933037367,2702.0,-109.8901098901099,0.1978021978021978,90.0,18.479467258601552,0.49648538660747316,,-212.7659574468085,0.2127659574468085,46.0,-38.31417624521073,0.3218390804597701,260.0,-8.818342151675484,0.3324514991181658,1133.0
tight3_agg3,101,-5.798368298368298,0.32226107226107226,1715.0,-15.479876160990713,0.16253869969040247,645.0,-15.479876160990713,0.18885448916408668,645.0,-93.45794392523365,0.19626168224299065,106.0,-80.64516129032258,0.25806451612903225,123.0,29.10839160839161,0.5151515151515151,
tight3_agg3,202,-4.870920603994155,0.24939113492450074,2052.0,-2.428953121204761,0.33470974010201604,4116.0,-20.5761316872428,0.18930041152263374,485.0,12.144765606023803,0.5137235851348069,,-175.43859649122805,0.22807017543859648,56.0,-178.57142857142858,0.14285714285714285,55.0
tight3_agg3,303,1.9652974504249292,0.4984261882278879,,-196.078431372549,0.13725490196078433,50.0,-0.3914856783128738,0.495042492917847,25415.0,-60.97560975609756,0.27439024390243905,163.0,-41.32231404958678,0.34710743801652894,241.0,-136.986301369863,0.273972602739726,72.0
tight3_agg3,404,-32.57328990228013,0.1237785016286645,306.0,-3.8328861632809503,0.30739747029513226,2608.0,-44.843049327354265,0.06726457399103139,222.0,-11.678403755868546,0.2863849765258216,851.0,-11.198208286674133,0.29227323628219487,892.0,19.145266385588346,0.48409352242238407,
tight3_agg3,505,-227.27272727272728,0.022727272727272728,43.0,-212.7659574468085,0.0425531914893617,46.0,-5.083884087442806,0.38230808337569905,1966.0,25.41942043721403,0.556176919166243,,-117.64705882352942,0.23529411764705882,84.0,-33.11258278145696,0.33112582781456956,301.0
agg2_passive4,101,-97.0873786407767,0.24271844660194175,102.0,14.898688915375446,0.5071513706793802,,-64.1025641025641,0.23717948717948717,155.0,-277.77777777777777,0.1111111111111111,35.0,-2.9797377830750893,0.47079856972586415,3355.0,-333.33333333333337,0.1,29.0
agg2_passive4,202,-144.92753623188406,0.13043478260869565,68.0,4.656360588563978,0.5221642764015645,,-285.7142857142857,0.05714285714285714,34.0,-31.645569620253166,0.28164556962025317,315.0,-476.1904761904762,0.0,20.0,-0.9312721177127957,0.4661016949152542,10737.0
agg2_passive4,303,-312.5,0.1875,31.0,-833.3333333333334,0.0,11.0,-3.1921719602181584,0.3253128007699711,3116.0,-312.5,0.15625,31.0,0.9075,0.49172,,-0.1085,0.48472,
agg2_passive4,404,-1666.6666666666667,0.3333333333333333,5.0,-416.6666666666667,0.25,23.0,-11.235955056179774,0.3089887640449438,889.0,0.109,0.49722,,-712.5,0.21428571428571427,13.0,0.6905,0.49416,
agg2_passive4,505,-476.1904761904762,0.09523809523809523,20.0,174.65034965034965,0.33916083916083917,,-56.81818181818182,0.1875,175.0,-34.79020979020979,0.2762237762237762,285.0,-35.97122302158273,0.2446043165467626,277.0,-227.27272727272728,0.18181818181818182,43.0
tight3_loose3,101,-9.191176470588236,0.14613970588235295,1087.0,-83.33333333333334,0.05,119.0,-18.256880733944953,0.11926605504587157,544.0,4.4321206743567,0.48580301685891747,,-0.8873114463176575,0.48837622005323866,11269.0,-112.35955056179776,0.23595505617977527,88.0
tight3_loose3,202,-43.290043290043286,0.16017316017316016,230.0,-7.414307004470939,0.18479880774962743,1341.0,-285.7142857142857,0.0,34.0,37.22056631892697,0.45380029806259314,,-8.9126559714795,0.39750445632798576,1121.0,-285.7142857142857,0.14285714285714285,34.0
tight3_loose3,303,-69.93006993006993,0.11888111888111888,142.0,-10.970231532524807,0.1609702315325248,906.0,-77.51937984496125,0.06976744186046512,128.0,-227.27272727272728,0.25,43.0,-3.5298270384751147,0.4493469819978821,2832.0,17.6314860571832,0.48499823508648077,
tight3_loose3,404,-38.02281368821293,0.12927756653992395,262.0,-10.551431601272535,0.2014846235418876,942.0,-6.337803320561941,0.272669220945083,1565.0,-163.9344262295082,0.2459016393442623,60.0,-51.28205128205128,0.3333333333333333,194.0,31.84865900383142,0.5357598978288634,
tight3_loose3,505,-23.364485981308412,0.1308411214953271,427.0,-58.139534883720934,0.06976744186046512,171.0,-28.520114942528735,0.11781609195402298,347.0,-2.2119000221190004,0.47555850475558503,4520.0,11.042910860429108,0.49458084494580845,,-238.0952380952381,0.21428571428571427,41.0
